siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD95393","奥斯陆","NOR3","Oslo","加勒穆恩国际机场","","NOR","挪威","Norway","1"
"ZD30072","拉各斯","NGAPK","","穆尔塔拉穆罕默德国际机场","/","NGA","尼日利亚","Nigeria","1"
"ZD00058","阿萨巴","NGABH","","阿萨巴国际机场","/","NGA","尼日利亚","Nigeria","1"
"ZD98795","阿布贾","NGAWX","","阿布贾机场","/","NGA","尼日利亚","Nigeria","1"
"ZD05034","加德满都","NPLPSUL","","特里布凡国际机场","/","NPL","尼泊尔","","1"
"ZD92090","伊丽莎白港","ZAF9688","Port Elizabeth","伊丽莎白港机场","/","ZAF","南非","South Africa","1"
"ZD43449","乔治","ZAF9682","George","乔治机场","/","ZAF","南非","South Africa","1"
"ZD62727","开普敦","ZAF9680","Cape Town","开普敦国际机场","/","ZAF","南非","South Africa","1"
"ZD59737","东伦敦","ZAF9695","Buffalo City","东伦敦机场","/","ZAF","南非","South Africa","1"
"ZD51052","德班","ZAF9708","Durban","沙卡国王国际机场","/","ZAF","南非","South Africa","1"
"ZD75914","布隆方丹","ZAF9702","Bloemfontein","布隆方丹机场","/","ZAF","南非","South Africa","1"
"ZD38696","珀斯","AUSPER","Perth","奥利弗·雷金纳德·坦博国际机场","/","AU","澳大利亚","Australia","1"
"ZD13015","温得和克","NAMVA","","卢格哈威机场","/","NAM","纳米比亚","Namibia","1"
"ZD44892","瓦哈卡","MEX5844","Acatlán de Osorio","瓦哈卡机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD69827","图斯特拉-古铁雷斯","MEX5810","Arriaga","图斯特拉古铁雷斯机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD36740","坦皮科","MEX5905","Naranjos","坦皮科国际机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD99697","塔帕丘拉","MEX5811","Tuxtla-Gutierrez","塔帕丘拉国际机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD34286","圣路易斯波托西","MEX5891","San Luis de la Paz","圣路易斯波托西机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD31708","奇瓦瓦市","MEX5959","Agua Prieta","奇瓦瓦机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD76119","普埃布拉","MEX5855","Huejotzingo","普埃布拉机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD04610","墨西卡利","MEX5927","Tecate","墨西卡利机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD36041","墨西哥城","MEXMEX","Mexico City","墨西哥城托卢卡","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD12796","墨西哥城","MEXMEX","Mexico City","墨西哥城机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD62498","米纳蒂特兰","MEX5909","Acayucan","米纳蒂特兰机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD94514","蒙特雷","MEX5969","Santiago","蒙特雷机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD78595","梅里达","MEX5987","Peto","梅里达机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD27964","马萨特兰","MEX5942","Huatabampo","马萨特兰机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD56273","雷诺萨","MEX5977","Nueva Rosita","雷诺萨机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD14841","韦拉克鲁斯","MEX5867","Coatepeque","拉斯巴贾达斯机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD74018","库利亚坎","MEX5934","Navolato","库利亚坎机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD02398","克雷塔罗","MEX5880","El Pueblito","克雷塔罗机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD37061","瓜达拉哈拉","MEX5790","Guadalajara","瓜达拉哈拉机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD64931","杜兰戈","MEX5943","Mazatlan","杜兰戈机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD75910","蒂华纳","MEX5925","Ensenada","蒂华纳罗德里格兹国际机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD82768","比亚埃尔莫萨","MEX5915","Cunduacán","比亚埃尔莫萨机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD64083","墨西哥城","MEXMEX","Mexico City","贝尼托·胡亚雷斯国际机场","","MEXCONUTRY","墨西哥","Mexico","1"
"ZD17713","巴亚尔塔港","MEX5779","Puerto Vallarta","巴亚尔塔机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD04379","埃莫西约","MEX5956","Monclova","埃莫西约机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD69069","阿卡普尔科","MEX5804","Acapulco","阿卡普尔科机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD22165","阿瓜斯卡连特斯","MEX5803","Aguascalientes","阿瓜斯卡连特斯机场","/","MEXCONUTRY","墨西哥","Mexico","1"
"ZD41258","马普托","MOZBD","","马普托机场","/","MOZ","莫桑比克","Mozambique","1"
"ZD85139","纳祖尔","MARLQ","","纳祖尔机场","/","MAR","摩洛哥","Morocco","1"
"ZD52454","仰光","MMRXA","","仰光机场","/","MMR","缅甸","Myanmar","1"
"ZD90930","曼德勒","MMRVB","","曼德勒机场","/","MMR","缅甸","Myanmar","1"
"ZD31241","伊基托斯","PERYY","","伊基托斯机场","/","PER","秘鲁","Peru","1"
"ZD00987","通贝斯","PERLC","","通贝斯机场","/","PER","秘鲁","Peru","1"
"ZD98735","特鲁希略","PERCUC","","特鲁希略机场","/","PER","秘鲁","Peru","1"
